website,domain,agency,bureau,visits,pageviews,cloud.gov,cloud.gov pages,login.gov,search.gov,dap,touchpoints,uswds,cloud provider,CMS provider,login provider,has a login,has site search
9-11commission.gov,9-11commission.gov,National Archives and Records Administration,,,,,,,,,TRUE,,,,,,
911commission.gov,911commission.gov,National Archives and Records Administration,,,,,,,,,TRUE,,,,,,
aal.mil,aal.mil,Department of Defense,,5277.0,8082.0,,,,,TRUE,TRUE,,,,,,TRUE
vertex.aal.mil,aal.mil,Department of Defense,,241.0,307.0,,,,,TRUE,TRUE,,azurewebsites.us,,,,
abilityone.gov,abilityone.gov,United States AbilityOne Commission,Committee for Purchase From People Who Are Blind or Severely Disabled,,,,,,,,TRUE,TRUE,,,,,
plimsvote.abilityone.gov,abilityone.gov,United States AbilityOne Commission,Committee for Purchase From People Who Are Blind or Severely Disabled,,,,,,,,TRUE,,,,login.microsoftonline.com,"["">Sign In<""]",
beta.access-board.gov,access-board.gov,Access Board,,652.0,5476.0,TRUE,TRUE,,,TRUE,TRUE,TRUE,cloud.gov,cloud.gov Pages,,,TRUE
ictbaseline.access-board.gov,access-board.gov,Access Board,,2224.0,8051.0,TRUE,TRUE,,,TRUE,TRUE,TRUE,cloud.gov,cloud.gov Pages,,,TRUE
cwpm.acf.gov,acf.gov,Department of Health and Human Services,Administration for Children and Families,9519.0,17257.0,,,,,TRUE,TRUE,TRUE,cloudfront.net,Drupal,,,TRUE
jira.acf.gov,acf.gov,Department of Health and Human Services,Administration for Children and Families,,,,,,,,,,amazonaws.com,,,,TRUE
liheapch.acf.gov,acf.gov,Department of Health and Human Services,Administration for Children and Families,,,,,,,,TRUE,,,Drupal,,,TRUE
liheappm.acf.gov,acf.gov,Department of Health and Human Services,Administration for Children and Families,,,,,,,,TRUE,,,Drupal,,,TRUE
ncsacw.acf.gov,acf.gov,Department of Health and Human Services,Administration for Children and Families,12272.0,18378.0,,,,,TRUE,TRUE,TRUE,cloudfront.net,,,,TRUE
ncw.acf.gov,acf.gov,Department of Health and Human Services,Administration for Children and Families,141.0,202.0,,,,,TRUE,TRUE,TRUE,cloudfront.net,,,,TRUE
acl.gov,acl.gov,Department of Health and Human Services,Administration for Community Living,114587.0,240631.0,,,,,TRUE,TRUE,TRUE,,Drupal,,,TRUE
agid.acl.gov,acl.gov,Department of Health and Human Services,Administration for Community Living,,,,,,,,TRUE,TRUE,azurefd.net,,,,TRUE
ak3.acl.gov,acl.gov,Department of Health and Human Services,Administration for Community Living,,,,,,,,,,azurefd.net,,,,
apstarc.acl.gov,acl.gov,Department of Health and Human Services,Administration for Community Living,,,,,,,,TRUE,TRUE,azurefd.net,,,,TRUE
dial.acl.gov,acl.gov,Department of Health and Human Services,Administration for Community Living,,,,,,,,TRUE,TRUE,azurefd.net,,,,
ejcc.acl.gov,acl.gov,Department of Health and Human Services,Administration for Community Living,,,,,,,,TRUE,TRUE,azurefd.net,,,,TRUE
eldercare.acl.gov,acl.gov,Department of Health and Human Services,Administration for Community Living,,,,,,,,TRUE,TRUE,azurefd.net,,,,
elderjustice.acl.gov,acl.gov,Department of Health and Human Services,Administration for Community Living,,,,,,,,TRUE,TRUE,azurefd.net,,,,TRUE
